marca,name,price,link,image,scraped_at
marca_79,Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Vermelho,237.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129484&prod=Deck Pod Gamegenic 60+ Convertible (Star Wars Unlimited) - Vermelho,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707403469_2705.jpg,2025-12-15T11:49:42.596218
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Amarelo,343.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129486&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Amarelo,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707412174_7642.jpg,2025-12-15T11:49:42.597219
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Azul,350.00,https://www.ligaswu.com.br/?view=prod/view&pcode=129488&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Azul,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707414363_8514.jpg,2025-12-15T11:49:42.597219
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Preto,365.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129491&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707415585_2404.jpg,2025-12-15T11:49:42.597219
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Verde,343.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129489&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Verde,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707414696_7043.jpg,2025-12-15T11:49:42.598219
marca_79,Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Vermelho,343.92,https://www.ligaswu.com.br/?view=prod/view&pcode=129487&prod=Double Deck Pod Gamegenic 120+ Convertible (Star Wars Unlimited) - Vermelho,https://repositorio.sbrauble.com/arquivos/up/prod/20240208/1707413275_2009.jpg,2025-12-15T11:49:42.598219
marca_79,Fichário Fixo Gamegenic - Zip Up Álbum 18 bolsos - Star Wars Unlimited - Preto,299.90,https://www.ligaswu.com.br/?view=prod/view&pcode=133690&prod=Fichário Fixo Gamegenic - Zip Up Álbum 18 bolsos - Star Wars Unlimited - Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20250613/1749842426_7828.jpg,2025-12-15T11:49:42.599218
marca_79,Playmat Prime Gamegenic - Battle Droids,150.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132429&prod=Playmat Prime Gamegenic - Battle Droids,https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731088385_8059.jpg,2025-12-15T11:49:42.599218
marca_79,Playmat Prime Gamegenic - Baylan and Shin Hati,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134582&prod=Playmat Prime Gamegenic - Baylan and Shin Hati,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762455545_3312.jpg,2025-12-15T11:49:42.599218
marca_79,Playmat Prime Gamegenic - Dagobah,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134583&prod=Playmat Prime Gamegenic - Dagobah,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762455607_1020.jpg,2025-12-15T11:49:42.600217
